ID,Institution Name,CITY,STABBR,Latitude,Longitude
150668,Goshen College,Goshen,IN,41.562483,-85.825225
150677,Grace College and Theological Seminary,Winona Lake,IN,36.879949,-87.664713
150756,Hanover College,Hanover,IN,38.7165177,-85.4616428
150765,J Michael Harrold Beauty Academy,Terre Haute,IN,31.781469,-93.654069
150774,Holy Cross College,Notre Dame,IN,41.6980783,-86.2532233
150853,PJ's College of Cosmetology-Clarksville,Clarksville,IN,32.973525,-111.515363
150941,Huntington University,Huntington,IN,40.8990516,-85.5022119
150987,Ivy Tech Community College,Indianapolis,IN,41.1122807,-85.1115341
151102,Purdue University Fort Wayne,Fort Wayne,IN,41.1171948,-85.1069762
151111,Indiana University-Purdue University-Indianapolis,Indianapolis,IN,39.7747773,-86.1769636
151263,University of Indianapolis,Indianapolis,IN,39.7093964,-86.1344523
151290,Indiana Institute of Technology,Fort Wayne,IN,41.0777476,-85.1182247
151306,University of Southern Indiana,Evansville,IN,37.9584686,-87.6742032
151324,Indiana State University,Terre Haute,IN,39.470372,-87.4081968
151333,Indiana University-Kokomo,Kokomo,IN,40.4594635,-86.1302691
151342,Indiana University-South Bend,South Bend,IN,41.659448,-86.218689
151351,Indiana University-Bloomington,Bloomington,IN,39.1802358,-86.5093526
151360,Indiana University-Northwest,Gary,IN,41.557056,-87.3377507
151379,Indiana University-Southeast,New Albany,IN,38.3436674,-85.8196412
151388,Indiana University-East,Richmond,IN,39.869481,-84.8795691
151467,International Business College-Indianapolis,Indianapolis,IN,39.8855244,-86.0417243
151564,Taylor Institute of Cosmetology II,Knox,IN,35.313271,-77.783597
151607,Tricoci University of Beauty Culture-Lafayette,Lafayette,IN,40.4197989,-86.8870019
151661,Lincoln College of Technology-Indianapolis,Indianapolis,IN,30.279179,-96.952297
151777,Manchester University,North Manchester,IN,41.0117756,-85.7600095
151786,Marian University,Indianapolis,IN,43.7774111,-88.4141279
151801,Indiana Wesleyan University-Marion,Marion,IN,40.5163759,-85.664165
151810,Martin University,Indianapolis,IN,39.7982082,-86.104001
151865,Anabaptist Mennonite Biblical Seminary,Elkhart,IN,41.6565727,-85.9720267
151962,Mid-America College of Funeral Service,Jeffersonville,IN,38.3120732,-85.7446786
152044,West Michigan College of Barbering and Beauty,Kalamazoo,MI,31.900213,-98.613002
152080,University of Notre Dame,Notre Dame,IN,41.7045677,-86.2382203
152099,Oakland City University,Oakland City,IN,38.8752175,-86.483164
152150,PJ's College of Cosmetology-Richmond,Richmond,IN,32.973525,-111.515363
