ID,Institution Name,CITY,STABBR,Latitude,Longitude
219587,Arnolds Beauty School,Milan,TN,35.937547,-88.758189
219596,Tennessee College of Applied Technology-Athens,Athens,TN,35.454706,-84.600665
219602,Austin Peay State University,Clarksville,TN,36.5342965,-87.3543085
219639,Baptist Health Sciences University,Memphis,TN,35.1393493,-90.027523
219709,Belmont University,Nashville,TN,36.1327833,-86.7926578
219718,Bethel University,McKenzie,TN,36.1414538,-88.5155258
219790,Bryan College-Dayton,Dayton,TN,35.4978913,-84.998551
219806,Carson-Newman University,Jefferson City,TN,36.1220632,-83.4893263
219824,Chattanooga State Community College,Chattanooga,TN,35.0991503,-85.2391824
219833,Christian Brothers University,Memphis,TN,35.1289696,-89.980225
219842,Pentecostal Theological Seminary,Cleveland,TN,36.230933,-87.368122
219851,Austin's Beauty College Inc,Clarksville,TN,36.532983,-87.346071
219879,Cleveland State Community College,Cleveland,TN,35.2010692,-84.8786496
219888,Columbia State Community College,Columbia,TN,35.6170163,-87.1002846
219903,Concorde Career College-Memphis,Memphis,TN,35.1132904,-89.891745
219921,Tennessee College of Applied Technology-Covington,Covington,TN,35.581972,-89.653077
219949,Cumberland University,Lebanon,TN,36.2046352,-86.2997137
219976,Lipscomb University,Nashville,TN,36.1050716,-86.7986409
219994,Tennessee College of Applied Technology-Dickson,Dickson,TN,36.0508014,-87.3664416
220002,Hussian College-Daymar College Nashville,Nashville,TN,36.164662,-86.834942
220057,Dyersburg State Community College,Dyersburg,TN,36.0479051,-89.3895771
220075,East Tennessee State University,Johnson City,TN,36.3022214,-82.3694575
220118,Chattanooga College Medical Dental and Technical Careers,Chattanooga,TN,35.77972,-87.464776
220127,Tennessee College of Applied Technology-Elizabethton,Elizabethton,TN,36.3655146,-82.177865
220163,The Hair Academy LLC,Fayetteville,TN,35.808557,-87.423032
220181,Fisk University,Nashville,TN,36.1670712,-86.8039065
220206,Welch College,Gallatin,TN,36.389732,-86.443488
220215,Freed-Hardeman University,Henderson,TN,35.4398165,-88.6366278
220251,Tennessee College of Applied Technology-Harriman,Harriman,TN,35.938651,-84.549887
220279,Tennessee College of Applied Technology-Hartsville,Hartsville,TN,35.777567,-87.465036
220321,Tennessee College of Applied Technology-Hohenwald,Hohenwald,TN,35.777567,-87.465036
220394,Tennessee College of Applied Technology-Jacksboro,Jacksboro,TN,36.317367,-84.2092807
220400,Jackson State Community College,Jackson,TN,35.6450712,-88.7806129
220464,John A Gupton College,Nashville,TN,36.1565573,-86.7948445
220473,Johnson University,Knoxville,TN,35.9354199,-83.7493949
