ID,Institution Name,CITY,STABBR,Latitude,Longitude
10415107,Arizona State University - Yuma,Yuma,AZ,41.489895,-81.539839
10415108,Arizona State University - Pinal,Casa Grande,AZ,32.286169,-106.74433
10415109,Arizona State University - Cochise,Sierra Vista,AZ,41.489895,-81.539839
10415110,Arizona State University - Yavapai,Prescott Valley,AZ,32.286169,-106.74433
10415111,Arizona State University - Pima,Tucson,AZ,41.489895,-81.539839
10415112,Arizona State University - Washington D.C.,Washington,DC,38.9011733,-77.0419523
10415113,Arizona State University - Northeastern Arizona,Show Low,AZ,33.034391,-111.384399
10415114,Arizona State University - Mesa City Center,Mesa,AZ,40.593779,-75.389377
10635101,Arkansas College of Barbering and Hair Design,Little Rock,AR,37.554055,-82.72589
10704401,Harding School of Theology,Memphis,TN,37.750731,-76.33238
10722001,Career Academy of Hair Design-Siloam Springs,Siloam Springs,AR,31.809183,-85.972157
10722002,Career Academy of Hair Design-Rogers,Rogers,AR,36.3550459,-94.1469077
10722003,Career Academy of Hair Design-Fayetteville,Fayetteville,AR,36.0476249,-94.2228948
10722004,Career Academy of Hair Design - Fort Smith,Fort Smith,AR,40.494475,-77.48319
10772501,University of Arkansas Community College at Hope - Texarkana,Texarkana,AR,37.571155,-77.53868
11046801,Alliant International University-Fresno,Fresno,CA,36.7667876,-119.7217072
11046802,Alliant International University-Los Angeles,Alhambra,CA,34.0807625,-118.1515544
11046803,Alliant International University-San Francisco,Emeryville,CA,37.8077859,-122.4095315
11046804,Alliant International University-Irvine,Irvine,CA,32.286169,-106.74433
11046805,Alliant International University-Sacramento,Sacramento,CA,32.286169,-106.74433
11458501,San Jose Campus,San Jose,CA,37.3817756,-121.8932427
11508305,Golden Gate University-Seattle,Seattle,WA,40.593765,-75.388229
11508306,Golden Gate University-Silicon Valley,Santa Clara,CA,32.285869,-106.74746
11577301,Humphreys College-Modesto,Salida,CA,40.126453,-93.316778
11635001,TONI&GUY Hairdressing Academy - Costa Mesa,Costa Mesa,CA,31.126907,-83.427197
11643901,IDEA at ATEP,Tustin,CA,33.714276,-117.8315077
11710401,Life Pacific University-Virginia,Christiansburg,VA,37.570304,-77.537784
11891201,MiraCosta College - San Elijo Campus,Cardiff,CA,37.55775,-90.29291
11917301,Mount Saint Mary's University - Doheny Campus,Los Angeles,CA,40.554581,-84.396547
12240901,San Diego State University-Imperial Valley Campus,Calexico,CA,32.6723062,-115.49276
12265801,San Joaquin General Hospital School of Radiation Technology,French Camp,CA,36.690881,-85.131421
12293101,Jesuit School of Theology of Santa Clara University,Berkeley,CA,35.989884,-106.080426
12429201,Thomas Aquinas College - New England,Northfield,MA,39.22116,-81.658789
12509101,Victor Valley Community College - Aviation Technology,Victorville,CA,35.698444,-89.968136
12601201,Wright Institute (The) -,Berkeley,CA,37.8683834,-122.2531671
12682703,Colorado Technical University-Denver South,Aurora,CO,40.593772,-75.388792
12697901,Denver Seminary - Washington DC,Landover,MD,38.85796,-76.967919
12777801,Otero College - La Junta High School,La Junta,CO,37.968004,-103.550177
12915401,Goodwin University - Bridgeport Campus,Bridgeport,CT,32.845355,-96.813831
12980802,Three Rivers Community College - York Correctional Institution,Niantic,CT,33.623341,-91.789595
13017402,Porter and Chester Institute of Enfield,Enfield,CT,42.964737,-71.271703
13017403,Porter and Chester Institute of Waterbury,Waterbury,CT,42.964737,-71.271703
13017405,Porter and Chester Institute of Worcester,Worcester,MA,42.3179299,-71.799885
13017407,Porter and Chester Institute - New London,New London,CT,42.964737,-71.271703
13017408,Porter and Chester Institute - Brockton,Brockton,MA,42.0732858,-71.044229
13017409,Porter and Chester Institute - Chicopee,Chicopee,MA,42.964737,-71.271703
13090701,Delaware Technical Community College-Owens,Georgetown,DE,40.302149,-83.097727
13090702,Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE,40.30281,-83.09639
13247101,Barry University Law School,Orlando,FL,40.593686,-75.390027
13508101,Keiser University-Melbourne,Melbourne,FL,28.0948221,-80.6229772
13508102,Keiser University-Tallahassee,Tallahassee,FL,40.593779,-75.389377
13508103,Keiser University-Daytona,Daytona Beach,FL,32.285869,-106.74746
13508104,Keiser University-Lakeland,Lakeland,FL,32.285869,-106.74746
13508105,Keiser University- Miami,Miami,FL,25.7934223,-80.3845118
13508106,Keiser University-Orlando,Orlando,FL,32.286169,-106.74433
13508107,Keiser University-Sarasota,Sarasota,FL,27.384532,-82.4457799
13508108,Keiser University-Jacksonville,Jacksonville,FL,32.285869,-106.74746
13508109,Keiser University-Tampa,Tampa,FL,28.0245793,-82.5293425
13508110,Keiser University-Pembroke Pines,Pembroke Pines,FL,25.9941135,-80.3392756
13508111,Keiser University-Port St Lucie,Port St Lucie,FL,32.285869,-106.74746
13508112,Keiser University-West Palm Beach,West Palm Beach,FL,26.7117261,-80.1059344
