Institution Name,State
Aaniiih Nakoda College,MT
Abilene Christian University,TX
Abraham Lincoln University,CA
Academy College,MN
Academy of Art University,CA
Adams State University,CO
AdventHealth University,FL
Agape College of Business and Science,CA
Agnes Scott College,GA
Alabama A & M University,AL
Alabama State University,AL
Alaska Pacific University,AK
Albany College of Pharmacy and Health Sciences,NY
Albertus Magnus College,CT
Albion College,MI
Albizu University-Miami,FL
Albright College,PA
Alice Lloyd College,KY
Allegheny College,PA
Allen University,SC
Alma College,MI
Alpena Community College,MI
Alverno College,WI
Amberton University,TX
America Evangelical University,CA
American Baptist College,TN
American Business and Technology University,MO
American InterContinental University,--
American InterContinental University-Atlanta,GA
American InterContinental University-Houston,TX
American International College,MA
American Islamic College,IL
American Medical Academy,FL
American Medical Sciences Center,CA
American Musical and Dramatic Academy,NY
American National University,VA
American National University-Pikeville,KY
American Public University System,--
American Samoa Community College,AS
American University,DC
Amherst College,MA
Amridge University,--
Ana G. Mendez University,FL
Anderson University,IN
Anderson University,SC
Andrew College,GA
Andrews University,MI
Angeles College,CA
Angelo State University,TX
Anna Maria College,MA
Antelope Valley Community College District,CA
Antigua College International,FL
Antioch College,OH
Apex School of Theology,NC
Appalachian Bible College,WV
Aquinas College,MI
Arapahoe Community College,CO
Arcadia University,PA
Arizona Christian University,AZ
Arizona State University Campus Immersion,AZ
Arkansas Baptist College,AR
Arkansas State University,AR
Arkansas Tech University,AR
Arlington Baptist University,TX
Art Academy of Cincinnati,OH
Art Center College of Design,CA
Asbury University,KY
Ascent College,VA
Ashland University,OH
Aspen University,AZ
Assumption University,MA
Atenas College,PR
ATI College-Whittier,CA
Atlantic University College,PR
Atlantis University,FL
Atlantis University-Florida Palms University,FL
Auburn University,AL
Augsburg University,MN
Augustana College,IL
Augustana University,SD
Aultman College of Nursing and Health Sciences,OH
Aurora University,IL
Austin College,TX
Austin Peay State University,TN
Averett University,VA
Averett University-Non-Traditional Programs,VA
Aviator College of Aeronautical Science and Technology,FL
Avila University,MO
Azusa Pacific University,CA
Babson College,MA
Baker College,MI
Baker University,KS
Bakersfield College,CA
Baldwin Wallace University,OH
Ball State University,IN
Baptist Bible College,MO
Baptist Missionary Association Theological Seminary,TX
Baptist University of the Americas,TX
Barclay College,KS
Bard College,NY
Bard College at Simon's Rock,MA
Barry University,FL
Barton College,NC
Bates College,ME
Bay Mills Community College,MI
Bay Path University,MA
Bay State College,MA
Beacon College,FL
Beal University,ME
Beckfield College-Florence,KY
Beis Medrash Heichal Dovid,NY
Belhaven University,MS
Bellarmine University,KY
Bellevue College,WA
Bellevue University,NE
Bellin College,WI
Bellingham Technical College,WA
Belmont Abbey College,NC
Belmont University,TN
Beloit College,WI
Bemidji State University,MN
Benedict College,SC
Benedictine College,KS
Benedictine University,IL
Benjamin Franklin Cummings Institute of Technology,MA
Bennett College,NC
Bennington College,VT
Berea College,KY
Bergin Universiy,CA
Berkeley College-New York,NY
Berkeley College-Woodland Park,NJ
Berklee College of Music,MA
Berry College,GA
