inst,state,city
alabama a & m university,AL,Normal
university of alabama at birmingham,AL,Birmingham
amridge university,AL,Montgomery
university of alabama in huntsville,AL,Huntsville
alabama state university,AL,Montgomery
the university of alabama,AL,Tuscaloosa
central alabama community college,AL,Alexander City
athens state university,AL,Athens
auburn university at montgomery,AL,Montgomery
auburn university,AL,Auburn
birmingham-southern college,AL,Birmingham
chattahoochee valley community college,AL,Phenix City
south university-montgomery,AL,Montgomery
enterprise state community college,AL,Enterprise
coastal alabama community college,AL,Bay Minette
faulkner university,AL,Montgomery
gadsden state community college,AL,Gadsden
new beginning college of cosmetology,AL,Albertville
george c wallace community college-dothan,AL,Dothan
george c wallace state community college-hanceville,AL,Hanceville
george c wallace state community college-selma,AL,Selma
herzing university-birmingham,AL,Birmingham
huntingdon college,AL,Montgomery
heritage christian university,AL,Florence
j. f. drake state community and technical college,AL,Huntsville
j f ingram state technical college,AL,Deatsville
jacksonville state university,AL,Jacksonville
jefferson state community college,AL,Birmingham
john c calhoun state community college,AL,Tanner
lawson state community college,AL,Birmingham
university of west alabama,AL,Livingston
lurleen b wallace community college,AL,Andalusia
marion military institute,AL,Marion
miles college,AL,Fairfield
university of mobile,AL,Mobile
university of montevallo,AL,Montevallo
northwest-shoals community college,AL,Muscle Shoals
university of north alabama,AL,Florence
northeast alabama community college,AL,Rainsville
oakwood university,AL,Huntsville
reid state technical college,AL,Evergreen
bishop state community college,AL,Mobile
samford university,AL,Birmingham
selma university,AL,Selma
shelton state community college,AL,Tuscaloosa
snead state community college,AL,Boaz
university of south alabama,AL,Mobile
spring hill college,AL,Mobile
stillman college,AL,Tuscaloosa
talladega college,AL,Talladega
h councill trenholm state community college,AL,Montgomery
troy university,AL,Troy
tuskegee university,AL,Tuskegee
united states sports academy,AL,Daphne
bevill state community college,AL,Jasper
university of alaska anchorage,AK,Anchorage
alaska bible college,AK,Palmer
university of alaska fairbanks,AK,Fairbanks
university of alaska southeast,AK,Juneau
alaska pacific university,AK,Anchorage
alaska vocational technical center,AK,Seward
charter college,WA,Vancouver
alaska career college,AK,Anchorage
empire beauty school-tucson,AZ,Tucson
carrington college-phoenix north,AZ,Phoenix
carrington college-mesa,AZ,Mesa
carrington college-tucson,AZ,Tucson
arizona academy of beauty,AZ,Tucson
miller-motte college-arizona automotive institute,AZ,Glendale
brookline college-phoenix,AZ,Phoenix
arizona state university campus immersion,AZ,Tempe
arizona western college,AZ,Yuma
university of arizona,AZ,Tucson
central arizona college,AZ,Coolidge
charles of italy beauty college,AZ,Lake Havasu City
cochise county community college district,AZ,Sierra Vista
empire beauty school-chandler,AZ,Chandler
avalon institute-mesa,AZ,Mesa
eastern arizona college,AZ,Thatcher
embry-riddle aeronautical university-prescott,AZ,Prescott
the school of architecture,AZ,Paradise Valley
glendale community college,AZ,Glendale
grand canyon university,AZ,Phoenix
gateway community college,AZ,Phoenix
mesa community college,AZ,Mesa
mohave community college,AZ,Kingman
universal technical institute of arizona inc-motorcycle mechanics institute division,AZ,Avondale
dine college,AZ,Tsaile
northern arizona university,AZ,Flagstaff
northland pioneer college,AZ,Holbrook
phoenix college,AZ,Phoenix
pima community college,AZ,Tucson
pima medical institute-tucson,AZ,Tucson
pima medical institute-albuquerque,NM,Albuquerque
prescott college,AZ,Prescott
refrigeration school inc,AZ,Phoenix
rio salado college,AZ,Tempe
roberto-venn school of luthiery,AZ,Phoenix
scottsdale community college,AZ,Scottsdale
south mountain community college,AZ,Phoenix
arizona christian university,AZ,Glendale
universal technical institute of arizona inc,AZ,Avondale
yavapai college,AZ,Prescott
university of arkansas at little rock,AR,Little Rock
university of arkansas for medical sciences,AR,Little Rock
arkansas baptist college,AR,Little Rock
arkansas beauty school-little rock,AR,Little Rock
arkansas beauty college,AR,Russellville
lyon college,AR,Batesville
arkansas technical school,AR,North Little Rock
arthur's beauty college,AR,Fort Smith
university of arkansas,AR,Fayetteville
university of arkansas at pine bluff,AR,Pine Bluff
arkansas state university-beebe,AR,Beebe
arkansas state university,AR,Jonesboro
arkansas tech university,AR,Russellville
university of arkansas at monticello,AR,Monticello
arthur's beauty college,AR,Jacksonville
baptist health college little rock,AR,Little Rock
black river technical college,AR,Pocahontas
university of central arkansas,AR,Conway
central baptist college,AR,Conway
cossatot community college of the university of arkansas,AR,De Queen
crowley's ridge college,AR,Paragould
east arkansas community college,AR,Forrest City
paul mitchell the school-little rock,AR,North Little Rock
national park college,AR,Hot Springs
university of arkansas community college-batesville,AR,Batesville
harding university,AR,Searcy
henderson state university,AR,Arkadelphia
hendrix college,AR,Conway
hot springs beauty college,AR,Hot Springs
jefferson regional school of nursing,AR,Pine Bluff
john brown university,AR,Siloam Springs
career academy of hair design,AR,Springdale
academy of salon and spa,AR,Fort Smith
arkansas state university mid-south,AR,West Memphis
arkansas northeastern college,AR,Blytheville
new tyler barber college inc,AR,North Little Rock
north arkansas college,AR,Harrison
northwest technical institute,AR,Springdale
ouachita baptist university,AR,Arkadelphia
arkansas state university three rivers,AR,Malvern
ozarka college,AR,Melbourne
university of the ozarks,AR,Clarksville
university of arkansas community college-morrilton,AR,Morrilton
philander smith college,AR,Little Rock
phillips community college of the university of arkansas,AR,Helena
southeast arkansas college,AR,Pine Bluff
professional cosmetology education center,AR,El Dorado
university of arkansas-pulaski technical college,AR,North Little Rock
university of arkansas hope-texarkana,AR,Hope
university of arkansas community college rich mountain,AR,Mena
paul mitchell the school-arkansas,AR,Fayetteville
searcy beauty college,AR,Searcy
shorter college,AR,N Little Rock
williams baptist university,AR,Walnut Ridge
south arkansas community college,AR,El Dorado
southern arkansas university main campus,AR,Magnolia
southern arkansas university tech,AR,Camden
velvatex college of beauty culture,AR,Little Rock
university of arkansas-fort smith,AR,Fort Smith
academy of art university,CA,San Francisco
academy of chinese culture and health sciences,CA,Oakland
college of alameda,CA,Alameda
allan hancock college,CA,Santa Maria
american academy of dramatic arts-los angeles,CA,Los Angeles
berkeley school of theology,CA,Berkeley
american film institute conservatory,CA,Los Angeles
american beauty college,CA,West Covina
american career college-los angeles,CA,Los Angeles
american river college,CA,Sacramento
antelope valley community college district,CA,Lancaster
art center college of design,CA,Pasadena
associated technical college-los angeles,CA,Los Angeles
associated technical college-san diego,CA,San Diego
azusa pacific university,CA,Azusa
bakersfield college,CA,Bakersfield
barstow community college,CA,Barstow
bellus academy-chula vista,CA,Chula Vista
bethesda university,CA,Anaheim
biola university,CA,La Mirada
brownson technical school,CA,Anaheim
bryan university,AZ,Tempe
butte college,CA,Oroville
california institute of integral studies,CA,San Francisco
cabrillo college,CA,Aptos
california baptist university,CA,Riverside
california college of the arts,CA,San Francisco
university of california-hastings college of law,CA,San Francisco
california institute of technology,CA,Pasadena
california lutheran university,CA,Thousand Oaks
california polytechnic state university-san luis obispo,CA,San Luis Obispo
alliant international university-san diego,CA,San Diego
california state university-bakersfield,CA,Bakersfield
california state university-stanislaus,CA,Turlock
california state university-san bernardino,CA,San Bernardino
california state polytechnic university-pomona,CA,Pomona
california state university-chico,CA,Chico
california state university-dominguez hills,CA,Carson
california state university-fresno,CA,Fresno
california state university-fullerton,CA,Fullerton
california state university-east bay,CA,Hayward
california state university-long beach,CA,Long Beach
california state university-los angeles,CA,Los Angeles
california state university-northridge,CA,Northridge
california state university-sacramento,CA,Sacramento
university of california-berkeley,CA,Berkeley
university of california-davis,CA,Davis
university of california-irvine,CA,Irvine
university of california-los angeles,CA,Los Angeles
university of california-riverside,CA,Riverside
university of california-san diego,CA,La Jolla
university of california-san francisco,CA,San Francisco
university of california-santa barbara,CA,Santa Barbara
university of california-santa cruz,CA,Santa Cruz
sofia university,CA,Palo Alto
california beauty school,CA,Modesto
california christian college,CA,Fresno
haven university,CA,Garden Grove
california hair design academy,CA,La Mesa
california institute of the arts,CA,Valencia
california state university maritime academy,CA,Vallejo
california western school of law,CA,San Diego
canada college,CA,Redwood City
college of the canyons,CA,Santa Clarita
career academy of beauty,CA,Garden Grove
casa loma college-los angeles,CA,Sherman Oaks
cet-san diego,CA,San Diego
cet-san jose,CA,San Jose
cet-el centro,CA,El Centro
cet-colton,CA,Colton
cet-watsonville,CA,Watsonville
cet-salinas,CA,Salinas
cerritos college,CA,Norwalk
cerro coso community college,CA,Ridgecrest
chabot college,CA,Hayward
chaffey college,CA,Rancho Cucamonga
chapman university,CA,Orange
charles r drew university of medicine and science,CA,Los Angeles
