df2_inst,address_df2,df2_state,df1_inst,address_df1,df1_state,similarity,address
aaniiih nakoda college,,MT,aaniiih nakoda college,,MT,100,Address not found
abilene christian university,,TX,abilene christian university,,TX,100,Address not found
abraham lincoln university,,CA,abraham lincoln university,,CA,100,Address not found
academy college,,MN,academy college,,MN,100,Address not found
academy of art university,,CA,academy of art university,,CA,100,Address not found
adams state university,,CO,adams state university,,CO,100,Address not found
adventhealth university,,FL,adventhealth university,,FL,100,Address not found
agape college of business and science,,CA,agape college of business and science,,CA,100,Address not found
agnes scott college,,GA,agnes scott college,,GA,100,Address not found
alabama a & m university,,AL,alabama a & m university,,AL,100,Address not found
alabama state university,,AL,alabama state university,,AL,100,Address not found
alaska pacific university,,AK,alaska pacific university,,AK,100,Address not found
albany college of pharmacy and health sciences,,NY,albany college of pharmacy and health sciences,,NY,100,Address not found
albertus magnus college,,CT,albertus magnus college,,CT,100,Address not found
albion college,,MI,albion college,,MI,100,Address not found
albizu university-miami,,FL,albizu university-miami,,FL,100,Address not found
albright college,,PA,albright college,,PA,100,Address not found
alice lloyd college,,KY,alice lloyd college,,KY,100,Address not found
allegheny college,,PA,allegheny college,,PA,100,Address not found
allen university,,SC,allen university,,SC,100,Address not found
alma college,,MI,alma college,,MI,100,Address not found
alpena community college,,MI,alpena community college,,MI,100,Address not found
alverno college,,WI,alverno college,,WI,100,Address not found
amberton university,,TX,amberton university,,TX,100,Address not found
america evangelical university,,CA,america evangelical university,,CA,100,Address not found
american baptist college,,TN,american baptist college,,TN,100,Address not found
american business and technology university,,MO,missouri university of science and technology,,MO,73,Address not found
american intercontinental university-atlanta,,GA,american intercontinental university-atlanta,,GA,100,Address not found
american intercontinental university-houston,,TX,american intercontinental university-houston,,TX,100,Address not found
american international college,,MA,american international college,,MA,100,Address not found
american islamic college,,IL,american islamic college,,IL,100,Address not found
american medical academy,,FL,american medical academy,,FL,100,Address not found
american medical sciences center,,CA,american medical sciences center,,CA,100,Address not found
american musical and dramatic academy,,NY,american musical and dramatic academy,,NY,100,Address not found
american national university,,VA,american national university,,VA,100,Address not found
american national university-pikeville,,KY,american national university-pikeville,,KY,100,Address not found
american samoa community college,,AS,american samoa community college,,AS,100,Address not found
american university,,DC,american university,,DC,100,Address not found
amherst college,,MA,amherst college,,MA,100,Address not found
ana g. mendez university,,FL,ana g. mendez university,,FL,100,Address not found
anderson university,,IN,anderson university,,IN,100,Address not found
andrew college,,GA,andrew college,,GA,100,Address not found
andrews university,,MI,andrews university,,MI,100,Address not found
angeles college,,CA,angeles college,,CA,100,Address not found
angelo state university,,TX,angelo state university,,TX,100,Address not found
anna maria college,,MA,anna maria college,,MA,100,Address not found
antelope valley community college district,,CA,antelope valley community college district,,CA,100,Address not found
antigua college international,,FL,antigua college international,,FL,100,Address not found
