inst,state,ID
alabama a & m university,AL,100706
albizu university-miami,FL,132842
american business and technology university,MO,Not available
american intercontinental university,--,Not available
american intercontinental university-houston,TX,445133
american national university-pikeville,KY,157021
american public university system,--,Not available
amridge university,--,Not available
angeles college,CA,446385
apex school of theology,NC,Not available
arkansas state university,AR,440402
atlantis university,FL,497790
atlantis university-florida palms university,FL,497790
averett university-non-traditional programs,VA,Not available
bergin universiy,CA,Not available
bloomsburg university of pennsylvania,PA,Not available
boston architectural college,MA,164872
broadview college,UT,Not available
california christian college,CA,120537
california intercontinental university,--,Not available
california state university-los angeles,CA,110592
california university of management and sciences,CA,120537
california university of pennsylvania,PA,Not available
carolina university,NC,199218
cem college-mayaguez,PR,Not available
central christian college of kansas,KS,154855
central connecticut state university,CT,128771
chamberlain university-illinois,IL,454227
christian life college,IL,Not available
city vision university,--,Not available
clarion university of pennsylvania,PA,Not available
college of biblical studies,TX,388520
college of biblical studies-houston,TX,388520
college of the holy cross,MA,166054
colorado college,CO,127918
colorado technical university-colorado springs,CO,126827
columbia central university-yauco,PR,Not available
dallas college,TX,223463
daytona college,FL,133386
daytona state college,FL,133386
delaware state university,DE,130934
devry university-arizona,AZ,482422
devry university-florida,FL,482459
devry university-missouri,MO,Not available
devry university-pennsylvania,PA,Not available
devry university-tennessee,TN,Not available
eastern international college-belleville,NJ,Not available
eastern kentucky university,KY,156620
edinboro university of pennsylvania,PA,Not available
fidm-fashion institute of design & merchandising-san francisco,CA,Not available
florida southwestern state college,FL,133508
gemini school of visual arts & communication,TX,Not available
grantham university,--,Not available
hellenic college-holy cross greek orthodox school of theology,MA,166054
high point university,NC,481720
hope international university,CA,120537
"houston christian university
",TX,Not available
huntington university of health sciences,--,Not available
idaho state university,ID,142276
illinois college,IL,454227
institute of production and recording,MN,Not available
inter american university of puerto rico-bayamon,PR,242705
inter american university of puerto rico-ponce,PR,242662
jacksonville university,FL,482459
kansas christian college,KS,154855
living arts college,NC,Not available
lock haven university,PA,Not available
los angeles college of music,CA,446385
mansfield university of pennsylvania,PA,Not available
maryville university of saint louis,MO,178059
miller-motte college,--,Not available
mississippi state university,MS,176044
mississippi valley state university,MS,176044
montana state university,MT,180179
montana state university billings,MT,180179
national american university,--,Not available
national american university-georgetown,TX,Not available
national paralegal college,--,Not available
nazarene bible college,KY,Not available
north dakota state university-main campus,ND,200332
northcentral university,--,Not available
northern vermont university,VT,230913
ohio university-main campus,OH,204796
oklahoma christian university,OK,207324
oklahoma city university,OK,207397
oklahoma state university-oklahoma city,OK,207397
oregon health & science university,OR,209490
oregon state university,OR,210429
pacific college,CA,120768
pacific oaks college,CA,120768
portland state university,OR,209807
radford university-carilion,VA,Not available
randolph college,VA,233301
randolph-macon college,VA,233301
regis university,CO,127918
remington college-dallas campus,TX,223463
rochester christian university,MI,Not available
sae expression college,CA,Not available
saint louis university,MO,178059
shasta bible college and graduate school,CA,123280
shasta college,CA,123280
shorter college,AK,Not available
"skyline college

",--,Not available
south dakota state university,SD,219356
south florida state college,FL,133508
south university-columbia,SC,218663
south university-high point,NC,481720
southeastern university,FL,136215
southern states university,CA,Not available
southwest university of visual arts-albuquerque,NM,Not available
st. joseph's university-long island,NY,Not available
state university of new york at new paltz,NY,196176
suny buffalo state university,NY,196088
the creative center,NE,Not available
trident university international,--,Not available
united states sports academy,--,Not available
university at buffalo,NY,196088
university of california-los angeles,CA,110592
university of california-san diego,CA,110680
university of chicago,IL,145600
university of colorado colorado springs,CO,126827
university of colorado denver/anschutz medical campus,CO,126562
university of denver,CO,126562
university of houston,TX,445133
university of illinois chicago,IL,145600
university of maine,ME,161217
university of maine at augusta,ME,161217
university of mary hardin-baylor,TX,226471
university of north dakota,ND,200332
university of oregon,OR,209490
university of phoenix-arizona,AZ,482422
university of pikeville,KY,157021
university of puerto rico-bayamon,PR,242705
university of puerto rico-ponce,PR,242662
university of science and arts of oklahoma,OK,207324
university of scranton,PA,214652
university of south dakota,SD,219356
university of the people,--,Not available
"university of the virgin islands, st. thomas",VI,Not available
university of utah,UT,230171
utah tech university,UT,230171
vanguard university of southern california,CA,123651
veritas baptist college,--,Not available
virginia state university,VA,233921
walden university,--,Not available
washington state university,WA,237011
washington university of science and technology,--,Not available
west virginia university,WV,237950
west virginia university institute of technology,WV,237950
western oregon university,OR,210429
western washington university,WA,237011
wilkes university,PA,214643
yellowstone christian college,MT,Not available
zaytuna college,CA,Not available
baylor university,TX,226471
boston college,MA,164872
georgia southwestern state university,GA,139764
georgia state university,GA,139764
new york university,NY,196176
north carolina a & t state university,NC,199193
north carolina state university at raleigh,NC,199193
nova southeastern university,FL,136215
ohio state university-main campus,OH,204796
pennsylvania state university-penn state scranton,PA,214652
pennsylvania state university-penn state wilkes-barre,PA,214643
pennsylvania state university-world campus,--,Not available
university of alabama in huntsville,AL,100706
university of arkansas,AR,440402
university of delaware,DE,130934
university of idaho,ID,142276
university of miami,FL,132842
university of north carolina wilmington,NC,199218
university of portland,OR,209807
university of san diego,CA,110680
university of south carolina-columbia,SC,218663
university of southern california,CA,123651
virginia polytechnic institute and state university,VA,233921
cuny new york city college of technology,NY,190655
cuny york college,NY,190655
university of connecticut,CT,128771
university of vermont,VT,230913
university of kentucky,KY,156620
