df2_inst,address_df2,df2_state,df1_inst,address_df1,df1_state,similarity
aaniiih nakoda college,,MT,aaniiih nakoda college,,MT,100
abilene christian university,,TX,abilene christian university,,TX,100
abraham lincoln university,,CA,abraham lincoln university,,CA,100
academy college,,MN,academy college,,MN,100
academy of art university,,CA,academy of art university,,CA,100
adams state university,,CO,adams state university,,CO,100
adventhealth university,,FL,adventhealth university,,FL,100
agape college of business and science,,CA,agape college of business and science,,CA,100
agnes scott college,,GA,agnes scott college,,GA,100
alabama a & m university,,AL,alabama a & m university,,AL,100
alabama state university,,AL,alabama state university,,AL,100
alaska pacific university,,AK,alaska pacific university,,AK,100
albany college of pharmacy and health sciences,,NY,albany college of pharmacy and health sciences,,NY,100
albertus magnus college,,CT,albertus magnus college,,CT,100
albion college,,MI,albion college,,MI,100
albizu university-miami,,FL,albizu university-miami,,FL,100
albright college,,PA,albright college,,PA,100
alice lloyd college,,KY,alice lloyd college,,KY,100
allegheny college,,PA,allegheny college,,PA,100
allen university,,SC,allen university,,SC,100
alma college,,MI,alma college,,MI,100
alpena community college,,MI,alpena community college,,MI,100
alverno college,,WI,alverno college,,WI,100
amberton university,,TX,amberton university,,TX,100
america evangelical university,,CA,america evangelical university,,CA,100
american baptist college,,TN,american baptist college,,TN,100
american business and technology university,,MO,missouri university of science and technology,,MO,73
american intercontinental university-atlanta,,GA,american intercontinental university-atlanta,,GA,100
american intercontinental university-houston,,TX,american intercontinental university-houston,,TX,100
american international college,,MA,american international college,,MA,100
american islamic college,,IL,american islamic college,,IL,100
american medical academy,,FL,american medical academy,,FL,100
american medical sciences center,,CA,american medical sciences center,,CA,100
american musical and dramatic academy,,NY,american musical and dramatic academy,,NY,100
american national university,,VA,american national university,,VA,100
american national university-pikeville,,KY,american national university-pikeville,,KY,100
american samoa community college,,AS,american samoa community college,,AS,100
american university,,DC,american university,,DC,100
amherst college,,MA,amherst college,,MA,100
ana g. mendez university,,FL,ana g. mendez university,,FL,100
anderson university,,IN,anderson university,,IN,100
andrew college,,GA,andrew college,,GA,100
andrews university,,MI,andrews university,,MI,100
angeles college,,CA,angeles college,,CA,100
angelo state university,,TX,angelo state university,,TX,100
anna maria college,,MA,anna maria college,,MA,100
antelope valley community college district,,CA,antelope valley community college district,,CA,100
antigua college international,,FL,antigua college international,,FL,100
antioch college,,OH,antioch college,,OH,100
appalachian bible college,,WV,appalachian bible college,,WV,100
aquinas college,,MI,aquinas college,,MI,100
arapahoe community college,,CO,arapahoe community college,,CO,100
arcadia university,,PA,arcadia university,,PA,100
arizona christian university,,AZ,arizona christian university,,AZ,100
arizona state university campus immersion,,AZ,arizona state university campus immersion,,AZ,100
arkansas baptist college,,AR,arkansas baptist college,,AR,100
arkansas state university,,AR,arkansas state university,,AR,100
arkansas tech university,,AR,arkansas tech university,,AR,100
arlington baptist university,,TX,arlington baptist university,,TX,100
art academy of cincinnati,,OH,art academy of cincinnati,,OH,100
art center college of design,,CA,art center college of design,,CA,100
asbury university,,KY,asbury university,,KY,100
ascent college,,VA,ascent college,,VA,100
ashland university,,OH,ashland university,,OH,100
aspen university,,AZ,aspen university,,AZ,100
assumption university,,MA,assumption university,,MA,100
atenas college,,PR,atenas college,,PR,100
ati college-whittier,,CA,ati college-whittier,,CA,100
atlantic university college,,PR,atlantic university college,,PR,100
atlantis university,,FL,atlantis university,,FL,100
atlantis university-florida palms university,,FL,atlantis university-florida palms university,,FL,100
auburn university,,AL,auburn university,,AL,100
augsburg university,,MN,augsburg university,,MN,100
augustana college,,IL,augustana college,,IL,100
augustana university,,SD,augustana university,,SD,100
aultman college of nursing and health sciences,,OH,aultman college of nursing and health sciences,,OH,100
aurora university,,IL,aurora university,,IL,100
austin college,,TX,austin college,,TX,100
austin peay state university,,TN,austin peay state university,,TN,100
averett university,,VA,averett university,,VA,100
aviator college of aeronautical science and technology,,FL,aviator college of aeronautical science and technology,,FL,100
avila university,,MO,avila university,,MO,100
azusa pacific university,,CA,azusa pacific university,,CA,100
babson college,,MA,babson college,,MA,100
baker college,,MI,baker college,,MI,100
baker university,,KS,baker university,,KS,100
bakersfield college,,CA,bakersfield college,,CA,100
baldwin wallace university,,OH,baldwin wallace university,,OH,100
ball state university,,IN,ball state university,,IN,100
baptist bible college,,MO,baptist bible college,,MO,100
baptist missionary association theological seminary,,TX,baptist missionary association theological seminary,,TX,100
baptist university of the americas,,TX,baptist university of the americas,,TX,100
barclay college,,KS,barclay college,,KS,100
bard college,,NY,bard college,,NY,100
bard college at simon's rock,,MA,bard college at simon's rock,,MA,100
barry university,,FL,barry university,,FL,100
barton college,,NC,barton college,,NC,100
bates college,,ME,bates college,,ME,100
bay mills community college,,MI,bay mills community college,,MI,100
bay path university,,MA,bay path university,,MA,100
bay state college,,MA,bay state college,,MA,100
beacon college,,FL,beacon college,,FL,100
beal university,,ME,beal university,,ME,100
