X,Y,OBJECTID,UNITID,NAME,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR
-86.14366,36.387191,3408,220279,Tennessee College of Applied Technology-Hartsville,716 McMurry Blvd East,Hartsville,TN,37074-2028,47,47169,Trousdale County,42,36.387191,-86.14366,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1,400,"Nashville-Davidson--Murfreesboro, TN",4706,47040,47018,2022-2023
-87.573757,35.551687,3409,220321,Tennessee College of Applied Technology-Hohenwald,813 West Main,Hohenwald,TN,38462-2201,47,47101,Lewis County,33,35.551687,-87.573757,N,N,0,N,N,4707,47071,47028,2022-2023
-84.208918,36.3175,3410,220394,Tennessee College of Applied Technology-Jacksboro,265 Elkins Rd,Jacksboro,TN,37757,47,47013,Campbell County,32,36.3175,-84.208918,28940,"Knoxville, TN",1,315,"Knoxville-Morristown-Sevierville, TN",4703,47036,47012,2022-2023
-84.208918,36.3175,3411,22039401,Tennessee College of Applied Technology-Jacksboro -,265 Elkins Road,Jacksboro,TN,37757,47,47013,Campbell County,32,36.3175,-84.208918,28940,"Knoxville, TN",1,315,"Knoxville-Morristown-Sevierville, TN",4703,47036,47012,2022-2023
-88.780005,35.645571,3412,220400,Jackson State Community College,2046 North Pky,Jackson,TN,38301-3797,47,47113,Madison County,13,35.645571,-88.780005,27180,"Jackson, TN",1,297,"Jackson-Brownsville, TN",4708,47080,47027,2022-2023
-86.7948,36.156633,3413,220464,John A Gupton College,1616 Church St,Nashville,TN,37203-2954,47,47037,Davidson County,11,36.156633,-86.7948,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1,400,"Nashville-Davidson--Murfreesboro, TN",4705,47058,47019,2022-2023
-83.750273,35.937193,3414,220473,Johnson University,7900 Johnson Dr,Knoxville,TN,37998,47,47093,Knox County,41,35.937193,-83.750273,28940,"Knoxville, TN",1,315,"Knoxville-Morristown-Sevierville, TN",4702,47019,47006,2022-2023
-86.42068,35.849141,3415,220491,Paul Mitchell the School-Murfreesboro,1720 Old Fort Pkwy Ste L200,Murfreesboro,TN,37129,47,47149,Rutherford County,12,35.849141,-86.42068,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1,400,"Nashville-Davidson--Murfreesboro, TN",4704,47037,47013,2022-2023
-82.159421,36.585309,3416,220516,King University,1350 King College Road,Bristol,TN,37620-2699,47,47163,Sullivan County,13,36.585309,-82.159421,28700,"Kingsport-Bristol, TN-VA",1,304,"Johnson City-Kingsport-Bristol, TN-VA",4701,47001,47004,2022-2023
-83.97362,35.958283,3417,220552,South College,3904 Lonas Road,Knoxville,TN,37909-0000,47,47093,Knox County,12,35.958283,-83.97362,28940,"Knoxville, TN",1,315,"Knoxville-Morristown-Sevierville, TN",4702,47013,47007,2022-2023
-82.51897,35.553771,3418,22055202,South College-Asheville,140 Sweeten Creek Road,Asheville,NC,28803-0000,37,37021,Buncombe County,13,35.553771,-82.51897,11700,"Asheville, NC",1,120,"Asheville-Marion-Brevard, NC",3710,37114,37049,2022-2023
-86.690462,36.144575,3419,22055203,South College-Nashville,616 Marriott Drive,Nashville,TN,37214,47,47037,Davidson County,11,36.144575,-86.690462,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1,400,"Nashville-Davidson--Murfreesboro, TN",4705,47060,47020,2022-2023
-84.305758,33.847913,3420,22055204,South College-Atlanta,2600 Century Parkway Suite 110,Atlanta,GA,30345-0000,13,13089,DeKalb County,21,33.847913,-84.305758,12060,"Atlanta-Sandy Springs-Alpharetta, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1306,13082,13042,2022-2023
-86.150157,39.931767,3421,22055205,South College - Indianapolis,301 Pennsylvania Parkway,Inidianapolis,IN,46280-1397,18,18057,Hamilton County,13,39.931767,-86.150157,26900,"Indianapolis-Carmel-Anderson, IN",1,294,"Indianapolis-Carmel-Muncie, IN",1805,18039,18030,2022-2023
-81.44028,28.487633,3422,22055206,South College - Orlando,4901 Vineland Road,Orlando,FL,32811-7383,12,12095,Orange County,11,28.487633,-81.44028,36740,"Orlando-Kissimmee-Sanford, FL",1,422,"Orlando-Lakeland-Deltona, FL",1210,12046,12011,2022-2023
-88.806535,35.627378,3423,220598,Lane College,545 Lane Ave,Jackson,TN,38301-4598,47,47113,Madison County,13,35.627378,-88.806535,27180,"Jackson, TN",1,297,"Jackson-Brownsville, TN",4708,47080,47027,2022-2023
-90.034101,35.118641,3424,220604,Le Moyne-Owen College,807 Walker Ave,Memphis,TN,38126-6595,47,47157,Shelby County,11,35.118641,-90.034101,32820,"Memphis, TN-MS-AR",1,368,"Memphis-Forrest City, TN-MS-AR",4709,47090,47029,2022-2023
-84.871399,35.166019,3425,220613,Lee University,1120 N Ocoee St,Cleveland,TN,37311,47,47011,Bradley County,13,35.166019,-84.871399,17420,"Cleveland, TN",1,174,"Chattanooga-Cleveland-Dalton, TN-GA",4704,47024,47009,2022-2023
-83.660198,36.578508,3426,220631,Lincoln Memorial University,6965 Cumberland Gap Parkway,Harrogate,TN,37752-8231,47,47025,Claiborne County,32,36.578508,-83.660198,N,N,0,N,N,4702,47035,47008,2022-2023
-85.317248,36.39594,3427,220640,Tennessee College of Applied Technology-Livingston,740 Hi Tech Dr,Livingston,TN,38570,47,47133,Overton County,33,36.39594,-85.317248,18260,"Cookeville, TN",2,N,N,4706,47041,47015,2022-2023
-87.035661,35.201019,3428,220701,The University of Tennessee Southern,433 West Madison Street,Pulaski,TN,38478-2799,47,47055,Giles County,32,35.201019,-87.035661,N,N,0,N,N,4707,47070,47028,2022-2023
-83.964223,35.751505,3429,220710,Maryville College,502 E Lamar Alexander Pkwy,Maryville,TN,37804-5907,47,47009,Blount County,21,35.751505,-83.964223,28940,"Knoxville, TN",1,315,"Knoxville-Morristown-Sevierville, TN",4702,47008,47002,2022-2023
-88.492615,36.137048,3430,220756,Tennessee College of Applied Technology-McKenzie,16940 Highland Dr,McKenzie,TN,38201,47,47017,Carroll County,41,36.137048,-88.492615,N,N,0,N,N,4708,47076,47024,2022-2023
-85.485574,36.176484,3431,220765,Genesis Career College-Cookeville,880-A East 10th Street,Cookeville,TN,38501-1907,47,47141,Putnam County,33,36.176484,-85.485574,18260,"Cookeville, TN",2,N,N,4706,47042,47015,2022-2023
-86.807371,36.165458,3432,220792,Meharry Medical College,1005 DB Todd Blvd.,Nashville,TN,37208,47,47037,Davidson County,11,36.165458,-86.807371,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1,400,"Nashville-Davidson--Murfreesboro, TN",4705,47058,47019,2022-2023
-90.039188,35.150262,3433,220853,Tennessee College of Applied Technology-Memphis,550 Alabama Ave,Memphis,TN,38105-3604,47,47157,Shelby County,11,35.150262,-90.039188,32820,"Memphis, TN-MS-AR",1,368,"Memphis-Forrest City, TN-MS-AR",4709,47088,47030,2022-2023
-89.938068,35.118878,3434,220862,University of Memphis,Alumni Avenue,Memphis,TN,38152,47,47157,Shelby County,11,35.118878,-89.938068,32820,"Memphis, TN-MS-AR",1,368,"Memphis-Forrest City, TN-MS-AR",4709,47091,47033,2022-2023
-89.982653,35.13311,3435,220871,Memphis Theological Seminary,168 East Parkway South,Memphis,TN,38104,47,47157,Shelby County,11,35.13311,-89.982653,32820,"Memphis, TN-MS-AR",1,368,"Memphis-Forrest City, TN-MS-AR",4709,47090,47029,2022-2023
